county,state,num_wells,average_change
023,32,427,0.646812385360655
027,32,2,2.697261905
029,32,11,-5.088446609
031,32,49,0.25603514732653
033,32,38,-0.326942355894737
510,32,74,-1.19445765591892
001,33,2,1.3484166665
003,33,3,-0.416574074333333
005,33,3,-0.385753968333333
007,33,6,-0.301620240833333
009,33,56,0.293097350375
011,33,5,-0.497651515
013,33,9,-1.09325396822222
015,33,11,0.704073002818182
017,33,4,-1.120324495
019,33,2,0.38375
001,34,15,-1.9881269842
003,34,5,4.1798121212
005,34,28,-6.945210884
007,34,19,-9.71986340857895
009,34,23,-0.583168219478261
011,34,27,5.69484661437037
013,34,5,-18.823
015,34,37,-6.35822730202703
019,34,5,-3.4133333334
021,34,45,-2.63464603168889
023,34,18,-3.08494709011111
025,34,15,-7.01473015893333
027,34,17,-5.95616806729412
029,34,25,-6.81369666668
031,34,1,7.21
033,34,22,-2.78255916290909
035,34,2,1.5941666665
037,34,7,1.26307823114286
039,34,4,-2.016
041,34,2,1.0608333335
001,35,152,-1.55172726058553
005,35,4,23.27995826925
006,35,5,21.843363636
007,35,1,5.91
009,35,25,23.80206666668
013,35,233,6.00728583298713
015,35,10,6.8985945891
019,35,1,24.399
021,35,5,2.007
023,35,11,3.52454545454545
025,35,72,19.2537673611111
027,35,46,6.53118297104348
029,35,10,5.9585
031,35,8,2.316875
033,35,2,3.07
035,35,5,7.576
037,35,6,1.13805555566667
041,35,7,26.7278571428571
043,35,17,7.11479016647059
045,35,7,82.7185714285714
047,35,4,77.2635
049,35,40,-18.891911308575
051,35,5,4.7211111112
053,35,2,0.3466666665
055,35,11,-3.27729522463636
057,35,6,17.9433333333333
059,35,11,30.6393181818182
061,35,8,0.77448863625
001,36,2,-1.5583333335
003,36,2,-1.4226785715
007,36,3,-0.160444444333333
009,36,2,2.77425
011,36,2,-3.930357143
013,36,3,6.60977404433333
015,36,2,-0.8496666665
017,36,1,-0.83
019,36,2,0.767159091
021,36,10,-2.0544109574
023,36,3,-0.964444444333333
025,36,2,-0.651
027,36,2,-1.2691666665
029,36,1,-2.295
031,36,2,0.6441666665
033,36,2,1.5669166665
035,36,2,0.4858333335
037,36,2,-2.302380952
039,36,2,-2.5710714285
041,36,1,0.71
043,36,2,-2.1626666665
045,36,2,0.4426666665
049,36,1,-0.406666667
051,36,1,-0.523333333
053,36,2,-5.147357143
055,36,10,-0.5305067155
057,36,1,0.64
063,36,2,-2.724935484
065,36,3,-0.531111111
067,36,8,-2.95260416675
069,36,2,3.3993518515
071,36,2,0.3225
073,36,1,-3.3
075,36,2,-1.776
077,36,1,-1.309772727
079,36,2,-0.4791666665
083,36,3,-1.57089798
087,36,2,-6.9725
089,36,2,0.381904762
091,36,3,-3.74906330766667
093,36,1,1.201666667
095,36,2,1.309
097,36,2,-5.535
099,36,2,-1.030681818
101,36,1,-0.829166667
105,36,1,0.2525
107,36,1,1.936666667
109,36,2,-0.44125
111,36,2,1.6383333335
113,36,2,0.2116666665
115,36,1,-0.763333333
117,36,1,-0.745
119,36,1,0.983333333
121,36,3,-0.595560904
123,36,1,0.696
011,37,1,0.195238095
013,37,8,3.76370535725
015,37,2,-1.02
017,37,14,-21.5319801585
019,37,14,2.29192460342857
021,37,33,1.14829237175758
023,37,2,-2.445
027,37,2,-3.8125
031,37,1,3.008888889
035,37,2,0.040833333
039,37,2,-2.0340714285
047,37,5,2.1436212122
049,37,6,5.29203703633333
051,37,1,61.13333333
059,37,1,2.787619048
061,37,6,-0.426296296166667
071,37,2,-9.425
073,37,1,5.643
079,37,17,0.360707283
081,37,1,0.13
087,37,1,0.362222222
091,37,1,1.15
093,37,4,0.535
095,37,1,1.958
097,37,51,0.234969551470588
103,37,4,9.3961818175
107,37,4,-2.575695707
111,37,2,-1.15625
113,37,4,-0.20875
119,37,20,0.32327234845
129,37,1,10.52444444
133,37,20,4.0749488096
135,37,2,-0.2525
137,37,2,2.025625
139,37,4,-0.8048809525
143,37,2,6.399
145,37,11,2.96262843681818
147,37,3,0.100074074
151,37,13,0.0786657112307692
153,37,1,0.627142857
155,37,18,2.46102777777778
157,37,33,-0.349922822121212
159,37,1,1.003809524
165,37,3,-2.27538095233333
173,37,1,-1.1135
175,37,2,1.2415367965
177,37,4,0.33755952375
179,37,2,-1.905
183,37,27,-5.39758986651852
187,37,3,-0.105962963
189,37,1,0.07
191,37,1,-1.734444444
197,37,1,0.45
001,38,2,-0.185
005,38,15,-1.72250740746667
009,38,3,0.205202381
011,38,2,1.7766666665
013,38,1,-0.912
015,38,3,-1.159
017,38,6,3.330357143
019,38,2,2.925
021,38,2,-7.408
023,38,3,-4.088888889
025,38,4,-1.345855158725
027,38,2,-0.950625
029,38,1,-16.136
031,38,1,-1.760833333
033,38,1,-10.5925
035,38,1,0.173333333
037,38,2,-0.91625
039,38,4,5.42580357175
041,38,1,2.214166667
043,38,3,1.615037037
045,38,2,-2.7995
047,38,5,-2.0542888888
049,38,8,-0.28549652775
051,38,7,-1.82092857142857
053,38,12,-1.36381379741667
055,38,1,-1.215555556
057,38,1,8.61
059,38,7,-6.103
061,38,2,0.82
063,38,2,0.6805714285
065,38,1,5.5115
067,38,1,-0.225714286
069,38,3,-2.49433333333333
071,38,4,-7.45749999825
073,38,5,-0.2045666668
075,38,1,-0.5075
077,38,4,-0.470422078
079,38,4,-19.3166666675
081,38,5,-0.663257143
083,38,1,-3.935
085,38,3,-2.70333333333333
089,38,1,-1.028333333
091,38,1,-0.476666667
093,38,3,0.511
095,38,5,-4.589333334
099,38,5,-3.3016666666
101,38,1,-23.52028571
103,38,2,-0.3292857145
105,38,15,-2.088798311
007,39,11,1.32179437236364
009,39,1,-0.4
011,39,1,-0.89
