YEAR,STATE,FIPS,TP-TotPop,TO-WGWTo,TO-WTotl,pcnt_groundwater
2010,CA,06089,177.223,76.49,239.01,0.32002845069244
2010,CA,06091,3.24,13.56,39.03,0.347425057647963
2010,CA,06093,44.9,149.8,411.07,0.364414819860364
2010,CA,06095,413.344,227.51,452.77,0.502484705258741
2010,CA,06097,483.878,164.66,259.54,0.63443014564229
2010,CA,06099,514.453,443.73,1642.69,0.270124003920399
2010,CA,06101,94.737,244.69,721.95,0.338929288731907
2010,CA,06103,63.463,177.54,825.59,0.215046209377536
2010,CA,06105,13.786,5.42,22.53,0.240568131380382
2010,CA,06107,442.179,1305.33,2600.28,0.501995938898888
2010,CA,06109,55.365,3.94,35.75,0.11020979020979
2010,CA,06111,823.318,247.34,719.48,0.34377606048813
2010,CA,06113,200.849,401.89,780.23,0.515091703728388
2010,CA,06115,72.155,70.3,261.74,0.268587147551005
2010,CO,08001,441.603,29.62,230.92,0.128269530573359
2010,CO,08003,15.445,118.55,152.41,0.777836099993439
2010,CO,08005,572.003,34.37,187,0.18379679144385
2010,CO,08007,12.084,1.24,59.27,0.0209212080310444
2010,CO,08009,3.788,98.41,98.51,0.998984874632017
2010,CO,08011,6.499,16.52,152.43,0.108377615954865
2010,CO,08013,294.567,0.83,231.61,0.00358361037951729
2010,CO,08015,17.809,2.41,101.85,0.0236622484045164
2010,CO,08017,1.836,34.58,37.88,0.912882787750792
2010,CO,08019,9.088,0.49,1.82,0.269230769230769
2010,CO,08021,8.256,67.28,382.5,0.175895424836601
2010,CO,08023,3.524,34.49,139.91,0.246515617182474
2010,CO,08025,5.823,5.04,13.73,0.36707938820102
2010,CO,08027,4.255,0.55,27.24,0.0201908957415565
2010,CO,08029,30.952,4.63,359.51,0.0128786403716169
2010,CO,08031,600.158,1.42,150.54,0.0094327089145742
2010,CO,08033,2.064,0.25,5.59,0.0447227191413238
2010,CO,08035,285.465,26.82,51.56,0.520170674941815
2010,CO,08037,52.197,4.96,137.89,0.0359707012836319
2010,CO,08039,23.086,5.28,13.81,0.382331643736423
2010,CO,08041,622.263,23.86,116.11,0.205494789423822
2010,CO,08043,46.824,1.44,146.21,0.00984884754804733
2010,CO,08045,56.389,4.19,261.47,0.0160247829578919
2010,CO,08047,5.441,0.71,3.36,0.211309523809524
2010,CO,08049,14.843,1.31,186.53,0.00702299898139709
2010,CO,08051,15.324,4.15,562.74,0.00737463126843658
2010,CO,08053,0.843,1.28,30.41,0.0420914172969418
2010,CO,08055,6.711,0.31,38.26,0.00810245687401986
2010,CO,08057,1.394,0.54,347.86,0.00155234864600701
2010,CO,08059,534.543,6.62,78.3,0.0845466155810983
2010,CO,08061,1.398,5.49,5.56,0.987410071942446
2010,CO,08063,8.27,130.13,130.5,0.997164750957854
2010,CO,08065,7.31,2.01,14.66,0.137107776261937
2010,CO,08067,51.334,2.77,336.64,0.00822837452471483
